date,EPU,credit_spread,yield_curve_slope,bbb_aaa_spread
2021-05-01,172.09620892868668,2.0,1.47,0.6600000000000001
2021-06-01,149.131269416058,1.93,1.32,0.6600000000000001
2021-07-01,182.171409450722,1.93,1.1,0.6700000000000004
2021-08-01,157.1952139740155,1.96,1.07,0.6900000000000004
2021-09-01,171.30044767776016,1.86,1.13,0.7000000000000002
2021-10-01,136.92023897318535,1.77,1.19,0.6699999999999999
2021-11-01,175.87287993217254,1.72,1.05,0.6599999999999997
2021-12-01,201.43366532410735,1.83,0.79,0.6599999999999997
2022-01-01,155.279658979555,1.82,0.78,0.6599999999999997
2022-02-01,140.442501940303,2.03,0.5,0.7200000000000002
2022-03-01,229.2447416565428,2.17,0.22,0.8599999999999999
2022-04-01,168.82774660506905,1.91,0.21,0.9000000000000004
2022-05-01,190.45301794086703,2.22,0.28,0.9900000000000002
2022-06-01,152.81057402833767,2.12,0.15,1.0299999999999994
2022-07-01,222.78993756365372,2.32,-0.14,1.1500000000000004
2022-08-01,183.0348267700993,2.25,-0.35,1.08
2022-09-01,201.73848940265736,2.17,-0.34,1.1000000000000005
2022-10-01,207.2753347956232,2.28,-0.39,1.1600000000000001
2022-11-01,210.37489419320417,2.17,-0.61,1.17
2022-12-01,150.03712407268858,1.98,-0.67,1.1600000000000001
2023-01-01,161.42711351828396,1.97,-0.68,1.0999999999999996
2023-02-01,152.96728106380317,1.85,-0.79,1.0300000000000002
2023-03-01,200.48993632249247,2.05,-0.64,1.1100000000000003
2023-04-01,165.4175590624888,2.07,-0.56,1.0600000000000005
2023-05-01,205.17645766377265,2.19,-0.56,1.0999999999999996
2023-06-01,179.30804360580655,2.01,-0.89,1.0999999999999996
2023-07-01,132.710630244132,1.84,-0.93,1.08
2023-08-01,76.8442238599466,1.85,-0.73,1.0699999999999994
2023-09-01,117.69877740932384,1.78,-0.64,1.0300000000000002
2023-10-01,133.59407497617926,1.83,-0.27,1.0199999999999996
2023-11-01,140.67720419175046,1.79,-0.38,1.0099999999999998
2023-12-01,107.0015790035396,1.62,-0.44,0.8999999999999995
2024-01-01,131.2736785982848,1.62,-0.26,0.8099999999999996
2024-02-01,106.51287342793694,1.56,-0.34,0.7399999999999993
2024-03-01,116.71150289896296,1.55,-0.38,0.7400000000000002
2024-04-01,139.4120173422644,1.46,-0.33,0.7199999999999998
2024-05-01,123.60752054667115,1.47,-0.37,0.7000000000000002
2024-06-01,144.17842439562995,1.51,-0.43,0.6900000000000004
2024-07-01,144.93679861142613,1.59,-0.25,0.7199999999999998
2024-08-01,138.3664253273809,1.73,-0.09,0.7299999999999995
2024-09-01,127.39912062749826,1.69,0.1,0.7400000000000002
2024-10-01,109.29088880997024,1.54,0.12,0.6799999999999997
2024-11-01,225.04903075137688,1.42,0.1,0.6400000000000006
2024-12-01,218.84548056843852,1.41,0.17,0.5999999999999996
